SHOT_DISTANCE,TOTAL,SUCCESSES,SHOOTING_PERCENTAGE
0,378,272,71.95767195767195
1,460,357,77.6086956521739
2,378,246,65.07936507936508
3,235,131,55.74468085106383
4,157,55,35.03184713375796
5,120,50,41.66666666666667
6,106,34,32.075471698113205
7,73,27,36.986301369863014
8,79,25,31.645569620253166
9,68,34,50.0
10,57,21,36.84210526315789
11,50,14,28.000000000000004
12,53,19,35.84905660377358
13,50,25,50.0
14,46,19,41.30434782608695
15,30,8,26.666666666666668
16,43,17,39.53488372093023
17,31,12,38.70967741935484
18,39,13,33.33333333333333
19,37,17,45.94594594594595
20,30,14,46.666666666666664
21,28,10,35.714285714285715
22,162,49,30.246913580246915
23,259,80,30.888030888030887
24,254,73,28.74015748031496
25,501,145,28.942115768463072
26,496,131,26.411290322580644
27,227,52,22.90748898678414
28,110,36,32.72727272727273
29,70,16,22.857142857142858
30,44,6,13.636363636363635
31,22,3,13.636363636363635
32,16,2,12.5
33,8,3,37.5
34,8,1,12.5
35,6,1,16.666666666666664
36,1,0,0.0
37,4,0,0.0
38,2,0,0.0
39,2,1,50.0
40,2,0,0.0
41,2,0,0.0
42,1,0,0.0
43,1,0,0.0
44,2,0,0.0
45,1,0,0.0
46,1,0,0.0
47,1,0,0.0
49,1,0,0.0
52,3,0,0.0
54,2,0,0.0
55,1,0,0.0
58,2,1,50.0
60,1,0,0.0
62,1,0,0.0
65,1,0,0.0
66,1,0,0.0
68,1,0,0.0
69,1,0,0.0
71,1,0,0.0
72,1,0,0.0
77,1,0,0.0
